Date,Open,High,Low,Close,Volume,,iShares Core U.S. Aggregate Bond ETF (AGG):
01/12/2020,118.03,118.24,117.51,118.19,"110,192,700.00",,
01/01/2021,118.08,118.14,116.56,117.31,"129,574,500.00",,
01/02/2021,117.2,117.26,114.2,115.34,"113,958,700.00",,
01/03/2021,114.97,115.59,113.2,113.83,"152,163,600.00",,
01/04/2021,113.93,115.13,113.69,114.49,"113,892,400.00",,
01/05/2021,114.4,114.97,113.78,114.55,"108,440,300.00",,
01/06/2021,114.36,115.45,113.97,115.33,"124,146,500.00",,
01/07/2021,115.15,116.82,115.01,116.46,"125,908,500.00",,
01/08/2021,116.36,116.83,115.34,116.06,"109,572,100.00",,
01/09/2021,116.02,116.38,114.69,114.83,"105,451,600.00",,
01/10/2021,114.82,115.06,113.84,114.64,"116,295,700.00",,
01/11/2021,114.16,115.5,113.39,114.77,"143,895,100.00",,
01/12/2021,114.27,115.24,113.81,114.08,"168,251,800.00",,
01/01/2022,113.67,113.68,111.36,111.8,"177,044,400.00",,
01/02/2022,111.66,111.97,109.1,110.36,"182,615,900.00",,
01/03/2022,110.6,111.17,105.98,107.1,"263,297,700.00",,
01/04/2022,106.35,106.95,102.67,102.87,"186,590,100.00",,
01/05/2022,102.32,104.31,101.48,103.47,"209,531,300.00",,
01/06/2022,103.39,103.53,98.86,101.68,"164,197,600.00",,
01/07/2022,102.21,104.4,101.16,104.07,"129,139,000.00",,
01/08/2022,103.99,104.35,100.64,100.71,"137,148,700.00",,
01/09/2022,100.07,100.67,95.38,96.34,"167,483,600.00",,
01/10/2022,96.89,97.55,93.2,94.9,"156,647,200.00",,
01/11/2022,95.25,98.32,93.93,98.29,"151,586,500.00",,
01/12/2022,98.3,100.18,96.97,96.99,"182,228,100.00",,
01/01/2023,97.97,100.88,97.37,100.22,"163,155,500.00",,
01/02/2023,100.19,101.15,96.93,97.31,"136,172,900.00",,
01/03/2023,96.83,100.49,96.11,99.64,"178,250,900.00",,
01/04/2023,99.28,100.98,98.71,99.96,"102,268,700.00",,
01/05/2023,99.35,100.42,97.24,98.57,"147,935,400.00",,
01/06/2023,98.6,98.8,97.45,97.95,"154,341,400.00",,
01/07/2023,97.82,98.48,96.28,97.68,"147,772,000.00",,
01/08/2023,97.01,97.22,95.04,96.8,"189,197,000.00",,
01/09/2023,96.54,96.57,93.53,94.04,"156,122,000.00",,
01/10/2023,93.43,94.05,91.58,92.31,"217,450,300.00",,
01/11/2023,92.23,96.67,92.23,96.26,"189,882,200.00",,
01/12/2023,96,99.7,95.97,99.25,"200,149,800.00",,
01/01/2024,98.84,99.36,97.67,99.1,"189,449,700.00",,
01/02/2024,99.2,99.57,96.75,97.35,"183,195,100.00",,
01/03/2024,96.99,98.41,96.81,97.94,"171,183,600.00",,
01/04/2024,97.32,97.34,94.85,95.23,"225,145,700.00",,
01/05/2024,95.2,97.28,94.99,96.52,"142,883,000.00",,
01/06/2024,96.4,98.05,96.38,97.07,"116,832,100.00",,
01/07/2024,96.43,99.12,96.22,99.11,"156,329,800.00",,
01/08/2024,99.01,100.92,99.01,100.25,"162,159,500.00",,
01/09/2024,100.49,102.04,100.23,101.27,"151,200,500.00",,
01/10/2024,101.27,101.45,98.09,98.42,"188,422,600.00",,
01/11/2024,98.29,99.22,97.26,99.2,"178,516,100.00",,
01/12/2024,99.39,99.6,96.47,96.9,"207,807,600.00",,
01/01/2025,97.07,97.73,95.74,97.4,"153,162,900.00",,
01/02/2025,97.34,99.29,96.61,99.25,"162,617,500.00",,
01/03/2025,98.66,99.4,98.01,98.74,"124,595,100.00",,
